"Grantor","Grantee","Zip Code","Fiscal Year","Amount","Description","Category","Fiscal Period","Date"
"Commerce/Maryland Tourism Board","PRINCE GEORGES COUNTY CVB","20772","2017","128,041","Maryland Tourism Board Grant","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Health & Mental Hygiene/Prevention and Disease Control","Associated Black Charities","21201","2010","93,427","Minority Outreach","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland Department of Education/EARLY CHILDHOOD EDUCATION","WESTED/PUBLICATIONS","94107-1242","2014","1,614,541","GRANTS FOR STATE ASSESSMENTS","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Health & Mental Hygiene/Family Health Services & Primary Care","Maryland Patient Safety Center","21075","2010","213,800","Babies Born Healthy","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund","Anacostia Watershed Society","20710","2017","174,318","Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","Washington County Museum of Fine Arts","21740","2009","55,913","grant funding for the support of the County Arts Councils","Grant","1","2009 Jun 30 12:00:00 AM"
"Boards and Commissions/Domestic Violence Crisis & Support Services","Domestic Violence Center of Howard County, Inc.","21045","2014","172,082.4","Domestic Violence Prevention","Grant","1","2014 Jun 30 12:00:00 AM"
"MD Small Business Development Financing Authority","Dacore Investment Group","20601","2018","103,978.94","Maryland Small Business Development Financing Authority (MSBDFA) - Equity Participation Investment Program","Loan","1","2018 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission - Aid to Non Public Institutions","Mount St Marys University","21727","2015","1,754,630","Sellinger Formula Aid","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Business & Economic Development/Maryland State Arts Council","Olney Theatre Center for the Arts","20830","2010","216,007","Grant funding for Arts Organizations, ARRA grant","Grant","1","2010 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland Industrial Development Financing Authority - MIDFA-","BRANCH BANKING & TRUST","20814","2012","2,000,000","Maryland Industrial Development Financing Authority - MIDFA, Loan Guarantee","Loan","1","2012 Jun 30 12:00:00 AM"
"Department of Business and Economic Development - Maryland State Arts Council","Charles County Arts Alliance Inc","20695 - 0697","2015","96,696","MD State Arts Council Community Arts Development Grant","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","FAIR HILL FARM, INC.","21620-0390","2011","81,010","COVER CROP","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland Energy Administration - LMI Community Grants","Habitat for Humanity Choptank FY15","21601","2015","170,000","Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.","Grant","1","2015 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Maryland Coalition Against Sexual Assault, Inc. (MCASA)","20907","2017","50,827","Victim Assistance Discretionary Grant Training Program","Grant","1","2017 Jun 30 12:00:00 AM"
"Life Science Investment Fund","Rise Therapeutics","20850","2018","200,000","Commercialization Investment","Loan","1","2018 Jun 30 12:00:00 AM"
"Department of Housing and Community Development - OAG Counseling","Asian American Homeowners","20852","2015","122,000","OAG Counseling","Grant","1","2015 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","The Tree House Child Advocacy Center of Montgomery County MD Inc.","20855","2018","35,000","Maryland Victims of Crime","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/RENTAL HOUSING PRODUCTION PRG - SPECIAL","Hilton- North Avenue LP","21114","2012","1,156,361","housing loan","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/MD Small Business Development Financing Authority","CATI INC","20743","2011","550,000","MSBDFA Contract Finance Line of Credit of $550,000 max","Loan","1","2011 Jun 30 12:00:00 AM"
"Military Department/Maryland Emergency Management Agency (MEMA)","SOUTHERN MD HOSPITAL CENTER","20735","2017","165,184.12","FEMA DR4261 Public Assistance","Grant","1","2017 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Northwest Hospital Center","21133-5103","2011","25,080.36","Domestic Violence Case Manager","Grant","1","2011 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD State Arts Council  -","NATIONAL PHILHARMONIC ORCH & CHORALE/MONT CO INC","20852","2012","88,000","Grants for Art Organization","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Natural Resources/RURAL LEGACY PROGRAM","Patuxent Tidewater Land Trust","20650","2012","4,738.95","John Lancaster Farm Easement","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Human Resources/Family Investment Administration","BENEFITS DATA TRUST","19103","2016","998,436.88","Funds are used to provide Food Supplement Outreach Programs that provides monthly benefits to eligible low-income individuals and families to help them purchase food, provide nutritional education, pre-screening, application assistance and follow-up.","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Infectious Disease & Environmental Health Services","Maryland Partnership for Prevention","21208","2012","1,314,000","Immunization Program","Grant","1","2012 Jun 30 12:00:00 AM"
"Boards and Commissions/Center for Victims and the Law","Maryland Crime Victims' Resource Center, Inc.","20774","2014","223,572.84","Maryland Victims of Crime","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of State Police/Vehicle Theft Prevention Program for Youth in Prince George's County, MD","Take Charge Juvenile Diversion Program, Inc.","20747","2014","90,000","Increase public awareness to students & citizens and reduce juvenile involvement of vehicle theft.","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Energy Administration/PV in Parking Lots Grants Program","Melwood Horticultural Training Center, Inc.","20772-3602","2014","400,000","Grant for solar canopy with charging stations in parking lots","Grant","1","2014 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Cecil Partnerships for Children, Youth and Families","21921","2011","8,597.76","Peer-to-Peer Alcohol Prevention","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Empower MD SMECCO","Southern Maryland Tri-County. Community Action Committee (SMTCCAC Inc.)","20637","2014","732,032","weatherization activities/products","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Planning/Heritage Areas Authority","Mount Vernon Place Conservancy, Inc.","21231","2016","50,000","FY 2014 Maryland Heritage Areas Authority - a comprehensive restoration of the Washington Monument, MHAA funding will support the Monument’s marble stone repointing.","Grant","1","2016 Jun 30 12:00:00 AM"
"State Department of Education/Children at Risk","FOUNDATION FOR BLSYW","21201","2016","72,209","21st Century Community Learning Centers","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","TURNER FARMS INC","21632","2016","64,701","COVER CROP COMMODITY","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene - Prevention & Health Promotion Administration","Black AIDS Institute","90057","2015","101,999","HIV Prevention Services","Grant","1","2015 Jun 30 12:00:00 AM"
"Judiciary/Mediation and Conflict Resolution Office","Anne Arundel Conflict Resolution Center","21401","2009","75,000","Community Mediation Performance Grant Funds","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","LEAGER FARMS","21668-1224","2011","95,936","COVER CROP","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Business & Economic Development/MD Economic Development Assistance Authority and Fund","OPGEN INC","20876","2010","100,000","MD Economic Development Assistance Authority and Fund (MEDAAF) Investment","Loan","1","2010 Jun 30 12:00:00 AM"
"Department of Business and Economic Development - Office of Business Development","Montgomery County Chamber Comm Foundation Inc","20850","2015","93,106.31","ECONOMIC DEVELOPMENT GRANT","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund","Smithsonian Institute Environmental Research Center","20005","2014","83,703.51","North Branch Muddy Creek Restoration","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Housing & Community Development/Neighborhood Business Development","Jean Marie's LLC/J Marie's Restaurant","20782","2010","135,000","small business development loan","Loan","1","2010 Jun 30 12:00:00 AM"
"Department of Natural Resources/Game Management Program","Farmers and Hunters Feeding the Hungry","21795","2013","248,120","Deer donation program to feed to food shelters","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland Energy Administration/Low-to-Moderate Income (LMI) Community Grants","B'nai B'rith Homecrest House (Montgomery) FY16","20906","2016","190,000","The low and moderate income sector","Grant","1","2016 Jun 30 12:00:00 AM"
"Freedom Fleet Voucher Program","Roush CleanTech","21701","2018","463,425","Financial assistance for the purchase of new and converted alternative fueled vehicles registered in the state of Maryland","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Energy Administration/MEEHA - Multifamily","North Creek Run","21229-1470","2012","132,500","Building Retrofits","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Technology Development Corporation/Fort Detrick Technology Transfer Initiative (FDTTI)","Biomedica Management Corp.","21227","2009","50,000","Support US Army Medical Technology Transfer","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Agriculture/Resource Conservation Grants","C RICHARD WEAVER","210481207","2017","79,853.79","Taxable Grants, Contrib &Subs","Grant","1","2017 Jun 30 12:00:00 AM"
"Military Department/Maryland Emergency Management Agency (MEMA)","SHEPPARD PRATT HOSPITAL","21204","2017","150,201.58","Shepperd Pratt Health System Inc","Grant","1","2017 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Baltimore Child Abuse Center, Inc.","21218","2018","5,307.69","Maryland Victims of Crime","Grant","1","2018 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","Voices for Children Inc","21044","2009","103,590","Advocacy for children in foster care","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Housing Counseling - State Funds","Washington County Community Action Council","21740","2011","20,500","foreclosure/housing counseling activities","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","KIDDIE CASTLE CHILD DEVELOPMENT CENTER INC","21215","2014","103,700.28","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland State Department of Education/DIV OF REHABILITATION SERVICES-HQ","FREEDOM CENTER INC","21702","2011","62,355","Independent Living","Grant","1","2011 Jun 30 12:00:00 AM"
"Maryland Department of Transportation - Maryland Highway Safety Office","Washington College","21620 - 1197","2015","271,890","Min. Penalty for Rep. Off. For Driv w/Intox","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","CLEARVIEW FARMS, INC.","21643","2012","83,311","COVER CROP","Grant","1","2012 Jun 30 12:00:00 AM"
"Boards and Commissions - Governor's Office of Crime Control and Prevention","Anne Arundel Medical Center","21401","2015","6,215","Byrne - Justice Assistance Grant (JAG) Program Interest","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Agriculture/MARKETING-TOBACCO TRANSITION","TRI-COUNTY COUNCIL FOR SOUTHERN MARYLAND","20637","2016","2,231,031.73","GRANTS TO NON-GOV ENTITIES","Grant","1","2016 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Greater Baltimore Medical Center (GBMC)","21204","2017","27,493","Violence Against Women","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Transportation/FACILITIES AND CAPITAL EQUIPMENT","MILANI CONSTRUCTION LLC","20020-7007","2014","106,340.18","Bikeways Program","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Agriculture/Resource Conservation Grants","ARBAUGH'S FLOWING SPRINGS, INC","217919050","2017","70,874.43","Manure Transport","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Health & Mental Hygiene/Prevention and Disease Control","Allegany County Health Department","21501","2010","107,000","Md Cancer Fund-Treatment","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland Department of Planning/MDP- Heritage Areas Authority","Heritage Alliance of Montgomery County, Inc.","20876","2017","97,065","FY 2016 & FY 2017 MHAA Grants - Operating Assistance","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Highway Safety","Chesapeake Region Safety Council","21244-2649","2018","276,391.14","Funds the law enforcement liaisons who coordinate between the Maryland Highway Safety Office (MHSO) and local enforcement agencies.","Grant","1","2018 Jun 30 12:00:00 AM"
"MD Stem Cell Research Fund","Theradaptive Inc.","21704","2018","299,005","Stem Cell Research Grant","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of The Environment/Bay Restoration Fund - Septic Systems","Canaan Valley Institute","26260","2013","931,871","Septic System Upgrade Program","Grant","1","2013 Jun 30 12:00:00 AM"
"OPERATING ASSISTANCE GRANT","HABITAT FOR HUMANITY CHOPTANK INC","21601","2018","25,000","OPERATING ASSISTANCE GRANT","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Human Resources/Office of Grants Management","Optimal Solutions Group","20740","2010","268,848","Funds are used to provide services to develop parenting skills and assistance with child support related issues to enable fathers to better meet the needs of their children","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland State Department of Education - Transitional Education School Readiness","Frederick Co Public Schools","21702 - 3006","2015","336,894","HOYER-GENERAL FUNDS","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/NBD Capital Loan & Grants","Keel's Auto Body Works LL","21795","2012","100,000","weatherization activities/products","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Planning/MDP - Historic Preservation Grant Program","Kennard Alumni Association, Inc.","21617","2013","25,200","Project work includes restoration of interior doors.",,"1","2013 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Weatherization - MD Energy Assistance","Allegany Co Human Resources Development Commission Inc","21502","2011","90,000","weatherization activities/products","Grant","1","2011 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","TurnAround, Inc. (Baltimore County)","21286","2018","8,334","Reimbursable funds from MDH for Sexual Assault/Rape Crisis Grant Program (SARC) - Rape Crisis Intervention","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Planning/MDP - Maryland Heritage Areas Authority","Annapolis, London Town & South County Heritage Area, Inc.","21401","2010","85,000","FY 2008, 2009, 2010 MHAA Operating Assistance Grants - Operating assistance to support staff salaries, operation costs and general overhead expenses to implement the approved heritage area management plan.","Grant","1","2010 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","The Family Recovery Program, Inc.","21202","2017","73,566","Byrne - Justice Assistance Grant (JAG) Program","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","CENTRONIA","20912","2012","89,905.14","FOOD SERVICE - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","EL SHADDAI HEALTH CARE INC","21207","2014","200,599.44","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Aging/State Nutrition","The Washington County Commission on Aging, Inc.","21740","2013","75,637","Meals for Seniors","Grant","1","2013 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","Court Appointed Special Advocates (CASA) of Baltimore County","21204","2014","132,132","Advocacy for children in Foster Care","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","ACADEMY ART MUSEUM","21601","2011","63,458","Grants to Arts Organizations","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Agriculture/Resource Conservation Capital Grants","JONATHAN C QUINN","21912","2017","105,936.74","Other Grants, Subs & Contribution","Grant","1","2017 Jun 30 12:00:00 AM"
"Facilities and Capital Equipment","COACH & EQUIP / HUMANIM","21046-1071","2018","193,355.2","COACH & EQUIP - SMALL BUS","Grant","1","2018 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Office of Business Services","UPPER SHORE REGIONAL COUNCIL","21620","2012","50,000","Regional Economic Development Grant","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","RAINBOW ADULT DAY HEALTH CARE OF BALTO COUNTY LLC","21208","2012","142,677.79","FOOD SERVICE - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Heartly House, Inc.","21705","2017","17,721","Reimbursable funds from DHMH for SARC - Community Sexual Violence Prevention","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Business and Economic Development - MD Small Business Development Financing Authority (MSBDFA)","Unified Solutions Services LLC","21046","2015","112,600","MSBDFA Contract Finance - Line of Credit","Loan","1","2015 Jun 30 12:00:00 AM"
"Maryland Department of Education/TRANSITIONAL EDUCATION FUNDING","JOHN HOPKINS UNIVERSITY","60693","2014","531,233","HOYER","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission/Aid to Non Public Institutions","Mount St Marys University","21727","2012","1,499,795","Sellinger Formula Aid","Grant","1","2012 Jun 30 12:00:00 AM"
"DIVISION OF EARLY CHILDHOOD DEVELOPMENT","PRINCE GEORGES CHILD RESOURCE CENTER INC","20774","2018","148,500","MARYLAND PRE-KINDERGARTEN EXPANSION","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland State Department of Education - Eearly Childhood Preschool Special Ed Pgm","New Beginnings Christian Learning Center","21787","2015","111,527","PREKINDERGARTEN EXPANSION PROGRAM","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland Technology Commercialization Fund","Cerebro Capital Inc.","21224","2018","100,000","Commercialization Investment","Loan","1","2018 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","The Greater Washington Jewish Coalition Against Domestic Abuse (JCADA)","20847","2018","12,981.12","Service*Training*Officers*Prosecutors (STOP) Violence Against Women Formula Grant Program","Grant","1","2018 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland Enterprise Investment/Challenge Programs  and Fund","HEALTHIFY INC.","10013","2014","100,000","Challenge Investments","Grant","1","2014 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","TurnAround, Inc. (Baltimore County)","21286","2017","376,739","VOCA Victim Assistance Formula Grant Program","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Energy Administration/EE L&M Income Community Grants","Arc Baltimore - Baltimore County","21212-1528","2013","100,000","Energy Efficiency Upgrades","Grant","1","2013 Jun 30 12:00:00 AM"
"State Department of Education/OTHER INSTITUTIONS","ALICE FERGUSON FOUNDATION INC","20607","2010","53,486","ALICE FERGUSON FOUNDATION","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland Department of Education/TRANSITIONAL EDUCATION FUNDING","CHILDRENS CENTER GROUP AT WALKERSVILLE","21793","2014","73,189.01","HOYER","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Agriculture/Conservation Grants","Garrett Brothers","21601","2009","57,822","Cover Crop","Grant","1","2009 Jun 30 12:00:00 AM"
"Child Welfare Services","SAN MAR CHILDREN'S HOME, INC.","21713","2018","543,365.23","Funds the treatment foster care program.","Grant","1","2018 Jun 30 12:00:00 AM"
"Military Department/Maryland Emergency Management Agency","TALMUDICAL ACADEMY","21208","2014","70,104.02","UASI NONPROFIT SECURITY GRANT PROGRAM FFY12","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Energy Administration/LMI Community Grants","Diversified Housing Development - Baltimore County","21244-3125","2014","150,000","Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Energy Administration/EE L&M Income Community Grants","Visions America Community Development","21613-2809","2013","50,000","Energy Efficiency Upgrades","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Business and Economic Development - Film Production Credit Program","Knight Takes King Productions LLC","90212","2015","7,500,000","FILM PRODUCTION GRANT FOR ""HOUSE OF CARDS""","Grant","1","2015 Jun 30 12:00:00 AM"
"Boards and Commissions/Hospital Based Domestic Violence","Sinai Hospital of Baltimore, Inc.","21215","2014","60,790.85","VOCA Victim Assistance Formula Grant Program","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene - Prevention and Health Promotion Administration","Children's National Medical Center","20010","2015","126,368","Medical Genetics & Systems Development","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/RHPP Harry &Jeanette Weinberg","Bethai Co & Capitol","21401","2014","114,253","Rental Housing Production Program (RHPP) Harry & Jeanette Weinberg","Loan","1","2014 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","RAINBOW ADULT DAY HEALTH CARE OF MONTG COUNTY LLC","20877-4131","2014","318,618.94","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of The Environment/Lead Poisoning Prevention","Coalition End Childhood Lead Poisoning, Inc.","21224","2012","165,123.73","Lead Poisoning Prevention Grant","Grant","1","2012 Jun 30 12:00:00 AM"
"State Department of Education/State Aided Educational Institutions","OLNEY THEATRE CENTER","20832","2016","125,586","State Aided Institutions","Grant","1","2016 Jun 30 12:00:00 AM"
"Boards and Commissions/Community Conferencing","Conflict Resolution Center of Baltimore County, Inc.","21221","2014","58,575","Juvenile Accountability Block Grants Program","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","EXCELLENT START LEARNING CENTER","21244","2013","4,511","CASH FOR COMMOD - CHILD CARE","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland State Department of Education/DIVISION OF EARLY CHILDHOOD DEVELOPMENT","THE LITERACY LAB","20001","2017","75,000","Prekindergarten Expansion Program","Grant","1","2017 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD Biotechnology Center","CORDEX SYSTEMS,INC.","21403","2014","100,000","Biotechnology Center Grant - Translational Research Award","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","EVERYMAN THEATRE INC","21201-5801","2011","96,175","Grants to Arts Organizations","Grant","1","2011 Jun 30 12:00:00 AM"
"State Department of Education/STUDENTS WITH DISABILITIES","BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN INC","21660","2010","152,073","NON- PUBLIC PLACEMENTS","Grant","1","2010 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Family & Children's Services of Central MD","21209-4914","2011","96,161","Child Abuse Treatment Services","Grant","1","2011 Jun 30 12:00:00 AM"
"Photovoltaic (PV) in Parking Lots Grants Program","Frederick Memorial Hospital","21701","2018","200,000","Grants to support the installation of Solar Photovoltaic (PV) parking canopies throughout Maryland","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Prevention and Disease Control","James Lawrence Kernan Hospital","21207","2011","750,000","Montebello Subsidy","Grant","1","2011 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD State Arts Council  -","GARRETT CO ARTS COUNCIL","21550","2012","81,295","Community Arts Development","Grant","1","2012 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD Economic Development Assistance Authority & Fund-MEDAAF","EA ENGINEERING SCIENCE & TECHNOLOGY INC","21031","2014","200,000","MD Economic Development Assistance Authority & Fund","Loan","1","2014 Jun 30 12:00:00 AM"
"Maryland Energy Administration/Clean Cities/Hybrid Truck","Efficiency Enterprises","21226-1600","2011","176,189","Hybrid Trucks","Grant","1","2011 Jun 30 12:00:00 AM"
"Military Department/Maryland Emergency Management Agency (MEMA)","MARYLAND STATE FIREMEN'S ASSOCIATION","21401","2017","350,000","MSFA Widows & Orphans Grant","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Department of Education/ASSIST TO STATE FOR ED STUDENTS W/DISABILITIES","SPECIAL OLYMPICS MARYLAND","21090","2013","93,000","IDEA-PART B - STATE GRANTS DISCRETIONARY","Grant","1","2013 Jun 30 12:00:00 AM"
"State Department of Education/Head Start","Anne Arundel County Economic Opportunity Comm Inc","21401","2009","126,996","Head Start","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds)","VINH, MINH","21853","2009","69,909","Install Best Mgmt Practice (BMP) on Farm","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Agriculture/COVER CROP","WILLIAM T MOORE JR","21028","2014","70,626.5","Cover Crop Program Grant, CREP Program","Grant","1","2014 Jun 30 12:00:00 AM"
"Maryland Energy Administration/Photovoltaic (PV) in Parking Lots Grants Program","Wor-Wic Canopy","21811","2016","120,000","PV Solar Canopy over an existing parking lot to power EV chargers","Grant","1","2016 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Family Crisis Center, Inc. of Prince George's County","20722","2016","46,270.83","Domestic Violence Protection Program","Grant","1","2016 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Family Crisis Resource Center, Inc.","21502","2016","113,969.67","Victims of Crime Act","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Energy Administration/C&I Deep Energy Retrofit Program","369 LLC","20850","2017","123,230","Implement energy conservation measures","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Department of Education/DORS - Headquarters","EASTERN SHORE CTR FOR INDEPENDENT LIVING INC","21613","2012","217,624","PROGRAM DEVELOPMENT","Grant","1","2012 Jun 30 12:00:00 AM"
"BOARD OF PUBLIC WORKS/MISCELLANEOUS GRANTS TO PRIVATE NON-PROFIT GROUPS","THE IVY COMMUNITY OF CHARITIES OF PG COUNTY (PRINCE GEORGE'S COUNTY LINKS, INC.)","20746","2024","25,000","FUNDING FOR DAILY OPERATIONS","Grant","1","2024 Jun 30 12:00:00 AM"
"Department of Human Services/Child Welfare Services","EASTERN SHORE PSYCHOLOGICAL SERVICES LLC","21801","2017","139,478.01","Funds are used to provide home visiting services to new parents with intensive and long-term needs for families that are at high risk for child abuse and neglect.","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland State Department of Education/STUDENTS WITH DISABILITIES","CENTER FOR SCHOOL MENTAL HEALTH ASSISTANCE","21201","2017","325,933","Students With Disabilities - Nonpublic Placements","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","GEOSE HAVEN ENTERPRISES, LLC","21620","2011","55,203","COVER CROP","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of The Environment/Bay Restoration Fund - Septic Systems","Canaan Valley Institute","26260","2012","492,896.25","Septic System Upgrade Program - Vendor Reimbursement","Grant","1","2012 Jun 30 12:00:00 AM"
"Military Department/Maryland Emergency Management Agency (MEMA)","PLEASANT VALLEY VFC","21158","2017","282,568","Volunteer Company Assistance Fund","Loan","1","2017 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Rape Crisis Intervention Service of Carroll County","21158","2017","48,873","Sexual Assault Rape Crisis","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland State Department of Education/DIV OF REHABILITATION SERVICES-HQ","EASTERN SHORE CTR FOR INDEPENDENT LIVING INC","21613","2011","222,294.5","Independent Living","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Foreclosure Mediation","SMTCCAC INC","20637","2017","119,401","Foreclosure Mediation","Grant","1","2017 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Mid-Shore Council on Family Violence","21601","2017","12,175","Legal Services for Crime Victims","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission/Aid to Non Public Institutions","St John's College","21404-2800","2010","613,501","Sellinger Formula","Grant","1","2010 Jun 30 12:00:00 AM"
"Judiciary/Department of Family Administration","Key Bridge Foundation","20015","2014","90,397","Diversion in delinquency cases","Grant","1","2014 Jun 30 12:00:00 AM"
