"Grantor","Grantee","Zip Code","Fiscal Year","Amount","Description","Category","Fiscal Period","Date"
"MARYLAND STADIUM AUTHORITY/OFFICE OF SPORTS MARKETING (MICHAEL ERIN BUSCH YOUTH AND AMATEUR SPORTS GRANT PROGRAM)","RRFT ENTERPRISES","21811","2022","110,742","FUNDS FOR THE FOLLOWING EVENTS: AAU GRAND PRIX, BEACH BUM BASH, BEACHFEST, BEACH TOURNAMENTS1-3, EASTERN SHORE SHOWDOWN","Grant","1","2022 Jun 30 12:00:00 AM"
"MARYLAND STADIUM AUTHORITY/OFFICE OF SPORTS MARKETING (MICHAEL ERIN BUSCH YOUTH AND AMATEUR SPORTS GRANT PROGRAM)","NEXT LEVEL SPORTS AND ENTERTAINMENT","21076","2022","75,000","FUNDS FOR THE NEXT COLLEGIATE LEAGUE CROWN CLASSIC","Grant","1","2022 Jun 30 12:00:00 AM"
"MARYLAND STADIUM AUTHORITY/OFFICE OF SPORTS MARKETING (MICHAEL ERIN BUSCH YOUTH AND AMATEUR SPORTS GRANT PROGRAM)","ELITE TOURNAMENTS","21794","2022","65,500","FUNDS FOR THE IWLCA CHAMPIOSHIP CUP","Grant","1","2022 Jun 30 12:00:00 AM"
"DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH","ANACOSTIA TRAILS HERITAGE AREA, INC.","20781","2022","170,000","HERITAGE AREAS AUTHORITY FY21 & FY22 MHAA - OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN. FY22 BLOCK GRANT: TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS.  FY22 MARKETING GRANT. FY22 MHAA PROJECT GRANT: FOR THE BOUNDARY FEASIBILITY STUDY.","Grant","1","2022 Jun 30 12:00:00 AM"
"DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH","ANNAPOLIS MARITIME MUSEUM, INC.","21403","2022","84,920.5","HERITAGE AREAS AUTHORITY FY21 PROJECT GRANT: RESTORATION OF SKIPJACK WILMA LEE  FY22 MHAA PROJECT GRANTS: 1) LIGHTING THE PARK – A PUBLIC SAFETY AND ACCESSIBILITY PROJECT AND 2) OUTDOOR EXHIBITS: AN EXTENSION OF “OUR CHANGING WATERFRONT”","Grant","1","2022 Jun 30 12:00:00 AM"
"DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH","ANNAPOLIS, LONDON TOWN, AND SOUTH COUNTY HERITAGE AREA, INC.","21401","2022","125,000","HERITAGE AREAS AUTHORITY FY 2019 AND FY2022 MHAA - OPERATING ASSISTANCE GRANTS- TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN. FY 2022 BLOCK GRANT:TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS. FY21 & FY22 MARKETING GRANT.","Grant","1","2022 Jun 30 12:00:00 AM"
"DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH","BALTIMORE HERITAGE AREA ASSOCIATION, INC.","21223","2022","125,000","HERITAGE AREAS AUTHORITY FY21 & FY22 MHAA - OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN.  FY22 MHAA BLOCK GRANT: TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS.","Grant","1","2022 Jun 30 12:00:00 AM"
"DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH","BEACH TO BAY HERITAGE AREA, INC.","21811","2022","105,164","HERITAGE AREAS AUTHORITY FY20, FY21 & FY22 MHAA - OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN. FY22 MHAA PROJECT GRANT: ALL HALLOWS EPISCOPAL CHURCH HISTORIC STRUCTURE REPORT.","Grant","1","2022 Jun 30 12:00:00 AM"
"DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION","BETHEL A.M.E. CHURCH, INC.","21601","2022","83,085.52","HISTORIC PRESERVATION GRANT PROGRAM FY17 & FY22 AAHPP GRANT: BETHEL AFRICAN METHODIST EPISCOPAL CHURCH","Grant","1","2022 Jun 30 12:00:00 AM"
"DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH","CATOCTIN FURNACE HISTORICAL SOCIETY, INC.","21788","2022","137,500","HERITAGE AREAS AUTHORITY FY21 MHAA PROJECT GRANT: FINISH IT! MUSEUM OF THE IRONWORKER RESTORATION/RENOVATION PHASE III. FY22 MHAA PROJECT GRANT:  ONLY THE THIRD OWNER - SAVING A WORKER HOUSE IN HISTORIC CATOCTIN FURNACE.","Grant","1","2022 Jun 30 12:00:00 AM"
"DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH","CHESAPEAKE BAY MARITIME MUSEUM, INC.","21663","2022","75,000","HERITAGE AREAS AUTHORITY FY20 MHAA PROJECT GRANT: CBMM EXHIBITION BUILDING - PHASE 1   FY22 MHAA PROJECT GRANT: WATERCRAFT HERITAGE EXHIBITION","Grant","1","2022 Jun 30 12:00:00 AM"
"DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION","THE CHIPMAN FOUNDATION, INC.","21803","2022","63,160.55","HISTORIC PRESERVATION GRANT PROGRAM FY14, FY18 & FY22 AAHPP GRANT: CHARLES H. CHIPMAN CULTURAL CENTER","Grant","1","2022 Jun 30 12:00:00 AM"
"DEPARTMENT OF PLANNING/HISTORIC PRESERVATION - CAPITAL APPROPRIATION","CHARLES COUNTY FAIR, INC.","20646","2022","55,565.07","HISTORIC PRESERVATION GRANT PROGRAM FY20 AAHPP GRANT: MCCONCHIE ONE-ROOM SCHOOL","Grant","1","2022 Jun 30 12:00:00 AM"
"DEPARTMENT OF PLANNING/MANAGEMENT PLANNING AND EDUCATIONAL OUTREACH","EASTERN SHORE HERITAGE, INC.","21620","2022","55,561.5","HERITAGE AREAS AUTHORITY FY21 & 22 MHAA  -OPERATING ASSISTANCE GRANTS - TO SUPPORT STAFF SALARIES, OPERATION COSTS AND GENERAL OVERHEAD EXPENSES TO IMPLEMENT THE APPROVED HERITAGE AREAS MANAGEMENT PLAN. FY22 BLOCK GRANT:  TO SUPPORT THE AWARD OF NON-CAPITAL MINI-GRANTS TO PROJECTS LOCATED WITHIN THE HERITAGE AREA BOUNDARIES PURSUANT TO THE MHAA POLICY ON MINI-GRANTS AND DISCRETIONARY FUNDS.","Grant","1","2022 Jun 30 12:00:00 AM"
